source,target
"""If it is a signal, whoever it may be who has made it, he will renew it.""","Si es un aviso, quienquiera que sea el que lo haya hecho lo volverá a repetir."
What could that mean?,¿Qué podía significar aquello?
Ashamed of being otherwise.,Sin atreverse a ser de otra forma.
"It was the last which Cyrus Harding intended to forge, as he possessed iron in a pure state.","Este último era el que buscaba Ciro Smith con preferencia, puesto que poseía el hierro en estado puro; y consiguió fabricarlo, calentando el metal con carbón en polvo, en un crisol hecho de tierra refractaria."
"He sees nothing attractive in me; not even youth--only a few useful mental points.--Then I must leave you, sir, to go to him?""","No ve en mí nada atractivo, ni siquiera la juventud, sino sólo algunos aspectos espirituales. ¿Me considera usted capaz de abandonarle para ir con él?"
"The evil is now irremediable, and it has been entirely your own doing.","El daño ya es irreparable, y ha sido por completo obra suya."
"""Then we're done for!""",-Entonces estamos perdidos.
"I found quickly the negroes wished to eat the flesh of this creature, so I was willing to have them take it as a favour from me; which, when I made signs to them that they might take him, they were very thankful for.","Me di cuenta en seguida, que los negros querían comerse la carne del animal. Estaba dispuesto a dársela, a modo de favor personal y les hice señas para que la tomaran, ante lo cual, se mostraron muy agradecidos."
"'Pardon me, that is not true,' said Serpukhovskoy with a smile.","–Dispensa, pero no es verdad –dijo Serpujovskoy, sonriendo."
"""I thank you, sirs,"" said Don Quixote; ""but I cannot stop for an instant, for sad thoughts and unhappy circumstances force me to seem discourteous and to travel apace;"" and spurring Rocinante he pushed on, leaving them wondering at what they had seen and heard, at his own strange figure and at the shrewdness of his servant, for such they took Sancho to be; and another of them observed, ""If the servant is so clever, what must the master be?","-Yo, señores -respondió don Quijote-, os lo agradezco, pero no puedo detenerme un punto, porque pensamientos y sucesos tristes me hacen parecer descortés y caminar más que de paso. Y así, dando de las espuelas a Rocinante, pasó adelante, dejándolos admirados de haber visto y notado así su estraña figura como la discreción de su criado, que por tal juzgaron a Sancho."
Vronsky was unable to reply to questions or to speak to anyone.,"Vronsky no pudo contestar a las preguntas, no pudo hablar con nadie."
"""I knew that Barrymore walked about nights, and I had a mind to speak to him about it,"" said he.",»-Sabía que Barrymore andaba de noche por la casa y había pensado hablar con él sobre ello -me dijo-.
Each retired to his own apartment.,Cada uno se retiró a su habitación.
"The fabric of the jacket was reinforced with copper mail that shielded the chest, protected it from the water's pressure, and allowed the lungs to function freely; the sleeves ended in supple gloves that didn't impede hand movements.","El tejido de la chaqueta estaba reforzado por finas láminas de cobre, que acorazaban el pecho protegiéndole de la presión de las aguas y que permitían el libre funcionamiento de los pulmones; sus mangas terminaban en unos finos guantes que dejaban a las manos gran libertad de movimientos."
"""It depends on you.",Sólo depende de vos.
"It seems to me thou must have gone and come through the air, for thou hast taken but little more than three days to go to El Toboso and return, though it is more than thirty leagues from here to there. From which I am inclined to think that the sage magician who is my friend, and watches over my interests (for of necessity there is and must be one, or else I should not be a right knight-errant), that this same, I say, must have helped thee to travel without thy knowledge; for some of these sages will catch up a knight-errant sleeping in his bed, and without his knowing how or in what way it happened, he wakes up the next day more than a thousand leagues away from the place where he went to sleep.","De que me parece que fuiste y veniste por los aires, pues poco más de tres días has tardado en ir y venir desde aquí al Toboso, habiendo de aquí allá más de treinta leguas; por lo cual me doy a entender que aquel sabio nigromante que tiene cuenta con mis cosas y es mi amigo (porque por fuerza le hay, y le ha de haber, so pena que yo no sería buen caballero andante); digo que este tal te debió de ayudar a caminar, sin que tú lo sintieses; que hay sabio déstos que coge a un caballero andante durmiendo en su cama, y, sin saber cómo o en qué manera, amanece otro día más de mil leguas de donde anocheció."
The captain offered me a cup of this still-warm milk.,El capitán me ofreció una taza de esa leche aún caliente.
"Even in dry seasons it is a danger to cross it, but after these autumn rains it is an awful place.","Incluso en las estaciones secas es peligroso cruzarla, pero aún resulta peor después de las lluvias del otoño."
In this animated state she liked him so much that she understood Anna's being able to fall in love with him.,Y mentalmente se ponía en el lugar de Ana y comprendía que ésta hubiera podido enamorarse de él.
"When the calèche pulled up, the riders advanced at a foot pace.","Al ver el coche, los jinetes apresuraron el andar de sus caballos."
"""How provoking!"" exclaimed Miss Ingram: ""you tiresome monkey!"" (apostrophising Adele), ""who perched you up in the window to give false intelligence?"" and she cast on me an angry glance, as if I were in fault.","Y apostrofó a Adèle-: Y tú, monicaca, ¿qué haces ahí, en la ventana, dedicándote a dar noticias tontas? Y lanzó sobre mí una mirada agria, como si yo hubiese cometido algún delito."
"""Aye, my dear, that I do, indeed.","-Claro, querida, por supuesto lo haré."
"I trust that Sir Henry is none the worse for his journey?""",Confío en que Sir Henry no esté demasiado fatigado por el viaje.
"""But, captain--"" answered the sailor, little disposed to obey.","–¡Pero, señor Ciro! –replicó el marino, poco dispuesto a obedecer."
"""Right, Ned, and then picture the damage such a mass could inflict if it were launched with the speed of an express train against a ship's hull.""","-Como usted dice, Ned. Piense ahora en los desastres que puede producir una masa semejante lanzada con la velocidad de un expreso contra el casco de un buque."
"It does not appear to be very clean in the crossroads.""",Parece que no hacía muy buen tiempo en los atajos.
"The clerk wished to get down, but then, changing his mind, shouted authoritatively and beckoned to a peasant.","Detrás, en un campo de centeno, cerca de un carro, sentados sobre la tierra, se veían varios campesinos."
D’Artagnan opened the letter and read as follows:,D'Artagnan abrió el billete y leyó lo que sigue:
"'We are all arranging to go for a drive up the mountains to-morrow,' replied Kitty.",–Mañana tenemos que ir a dar un paseo hasta las montañas –repuso Kitty.
It must be as wide as the Mediterranean or the Atlantic--and why not?,"Debe tener la longitud del Mediterráneo, y quién sabe si del Atlántico. ¿Por qué no?"
"She loved his quiet, kindly and hospitable manner on his estate.","A Kitty le agradaba el tono tranquilo, cariñoso y acogedor con que se mostraba siempre en la finca."
Why should she turn so pale?,¿Por qué había palidecido tanto?
"His, under such circumstances, is the destiny of the pioneer; and the first pioneers of the Gospel were the Apostles--their captain was Jesus, the Redeemer, Himself.""","Así lo hicieron los Apóstoles, capitaneados por Jesús, el Redentor..."
"What do you mean by that, you idiot?"" asked d’Artagnan.","¿Qué quieres decir, imbécil? preguntó D'Artagnan ."
But the next instant Holmes had emptied five barrels of his revolver into the creature's flank.,"Pero un instante después, Holmes había disparado cinco veces su revólver contra el costado del animal."
"LEVIN WENT ALONG THE HIGH-ROAD with long strides, attending not so much to his thoughts – he could not yet disentangle them – as to a condition of his soul he had never before experienced.","Levin iba por el camino andando a grandes pasos, atento, no tanto a sus pensamientos, que todavía no había logrado ordenar, cuanto a aquel estado de ánimo que hasta entonces no había experimentado."
"But if it were the maids, why should your son allow himself to be accused in their place?","Pero si hubieran sido las doncellas, ¿por qué iba su hijo a permitir que lo acusaran a él en su lugar?"
'I am alone and was expecting Serezha.,"Estoy sola, esperando a Sergio, que salió de paseo."
I am the guilty one. I have no words to express my guilt...,No encuentro palabras con qué expresar lo mal que me he portado.
"""Yes, my Lord,"" replied the young man, confused.","Sí, milord replicó el joven confuso."
"However, the situation had changed in only a short time and we hadn't noticed.","La situación había cambiado desde hacía algunos instantes, sin que nos hubiéramos dado cuenta."
CHAPTER XLIII,Capítulo XLIII
They walked to the house they had taken and looked over it.,Ana le escuchaba con atención.
She turned toward the wall to smile--for there was in this smile such an expression of triumph that this smile alone would have betrayed her.,"Se volvió hacia la pared para sonreír, porque en esa sonrisa había tal expresión de triunfo que esa sola sonrisa la habría denunciado."
"""Why do you sing thus, and with such a voice?"" said he.",¿Por qué cantáis así dijo y con semejante voz?
"No, it had just struck four.",¡No! Acababan de sonar las cuatro.
"But you must certainly be half-dead with hunger; I myself have a great inclination to eat, and so let us sit down to supper.""","Sin duda que debe tener una hambre canina, yo tambien, tengo buenas ganas, con que cenemos ántes de otra cosa."
"Give me back nine pounds, Jane; I've a use for it.""","Devuélvame nueve libras, Jane. Las tengo destinadas a..."
He then really thought himself equal to it.,En ese momento realmente se sintió a la altura de tal cometido.
Vraiment il aurait découvert une mine d’or qu’il n’aurait pas pu manifester une joie plus exubérante.,El descubrimiento de una mina de oro no habría encendido placer más intenso en aquel rostro.
"Without the least change in her action his mare rose under him; the boards disappeared, only behind him there was a knock.","Sin una sola agitación, el caballo se levantó bajo el jinete, las tablas desaparecieron y sólo sintió detrás de él el ruido de un ligero golpe."
"""But is he fit to move, sir?""",-¿Y si se desmaya al moverse?
"Consider,"" she added, ""that when the money is once parted with, it never can return.","Ten en cuenta -agregó- que cuando uno se desprende del dinero, nunca más lo recupera."
"And if some of them by the might of their arms did rise to be emperors, in faith it cost them dear in the matter of blood and sweat; and if those who attained to that rank had not had magicians and sages to help them they would have been completely baulked in their ambition and disappointed in their hopes.""","Y si algunos subieron a ser emperadores por el valor de su brazo, a fe que les costó buen porqué de su sangre y de su sudor; y que si a los que a tal grado subieron les faltaran encantadores y sabios que los ayudaran, que ellos quedaran bien defraudados de sus deseos y bien engañados de sus esperanzas."
"Mrs. Fairfax found you to train it; but now you know that it is the illegitimate offspring of a French opera-girl, you will perhaps think differently of your post and protegee: you will be coming to me some day with notice that you have found another place--that you beg me to look out for a new governess, &c.--Eh?""","Y ahora que sabe usted que es la hija ilegítima de una bailarina francesa, acaso no le agrade tanto el cargo que ejerce con ella y venga cualquier día a notificarne que ha encontrado usted otro empleo, que me busque otra institutriz, etcétera."
The fuse was calculated to burn ten minutes before setting fire to the mine.,"La mecha, según nuestros cálculos, debía tardar diez minutos en comunicar el fuego a la mina."
'Dolly dearest!,"–Todo lo comprendo, querida Dolly."
He stopped suddenly and stared fixedly up over my head into the air.,"-Si lo hace, creo que son muchas las probabilidades de que resolvamos muy pronto nuestro pequeño problema."
"""They must have done so.",––Tuvo que ser así.
"""Seven hundred and forty thousand pounds.""",-Setecientas cuarenta mil libras.
"The matter was all explained to him, and the friends gave him to understand that among all his high connections he must find a place for Kitty.",Se le expuso el asunto y se le dijo cuán urgente era encontrar un lugar para Ketty entre todos sus altos conocimientos.
"Upon this burning heart, nor add","Nerón manchego del mundo,"
"""No,"" replied Gideon Spilett; ""on the contrary, everything went wonderfully well.","¿Les ha sucedido algo? –No –contestó Gedeón Spilett–, al contrario, todo ha ido bien."
"""Is anything the matter with her?"" cried Mrs. Dashwood as she entered--""is she ill?""",-¿Ocurre algo con ella? . -exclamó la señora Dashwood al entrar-. ¿Está enferma?
"'Not I, not on any account!' said the venomous gentleman.",–Por lo que se refiere a mí –afirmó el señor irritado––– de ningún modo.
On se réunit le matin au breakfast et puis on se sépare.,De ellos nadie dijo nada y todos les recibían.
"""Nothing, Senor Samson,"" said she, ""only that my master is breaking out, plainly breaking out.""","-No es nada, señor Sansón mío, sino que mi amo se sale; ¡sálese sin duda!"
"The morning after the races he woke late, and without having a bath or shaving he put on a linen tunic and, spreading out before him his money, his accounts, and his bills and letters, he set to work.","Al día siguiente de la cita se despertó tarde. Sin afeitarse ni bañarse, se vistió la guerrera blanca del uniforme de verano, puso sobre la mesa dinero, cartas y cuentas, y comenzó a ocuparse en ello."
"""Alas! my good dame,"" said she, ""unless you had been ravished by two Bulgarians, had received two deep wounds in your belly, had seen two of your own castles demolished, had lost two fathers, and two mothers, and seen both of them barbarously murdered before your eyes, and to sum up all, had two lovers whipped at an auto-da-fe, I cannot see how you could be more unfortunate than I. Add to this, though born a baroness, and bearing seventy-two quarterings, I have been reduced to the station of a cook-wench.""","¡Ay! le dixo, madre, á ménos que haya vm. sido violada por dos Bulgaros, que le hayan dado dos cuchilladas en la barriga, que hayan demolido dos de sus granjas, que hayan degollado en su presencia dos padres y dos madres de vm., y que haya visto á dos de sus amantes azotados en un auto de fe, no se como pueda haber corrido mayores borrascas: sin contar que he nacido baronesa con setenta y dos quarteles en mi escudo de armas, y he sido cocinera."
"Do you understand?""",¿Ha comprendido?
"He so frequently talked of the increasing expenses of housekeeping, and of the perpetual demands upon his purse, which a man of any consequence in the world was beyond calculation exposed to, that he seemed rather to stand in need of more money himself than to have any design of giving money away.","Muy pocas semanas después del día que trajo la primera carta de sir John Middleton a Norland, todos los arreglos estaban tan avanzados en su futuro alojamiento que la señora Dashwood y sus hijas pudieron comenzar su viaje."
"But, fortunately the lava had spared the southern corner of the lake, containing all that remained of the drinking water of the island.","Afortunadamente la punta sur no había sido invadida y formaba una especie de estanque, que contenía todo lo que quedaba de agua potable en la isla."
In every way it corresponded with the scene of the old tragedy.,El lugar se corresponde en todos los detalles con el escenario de la antigua tragedia que ya conocemos.
It was soon piled up with my uncle's multifarious preparations.,En un momento se llenó con los bultos de mi tío.
"It was felt at once that he would be beholden to nobody, that he worked for his own convenience, and that nothing in this world could astonish or disturb his philosophic calmness.","Se veía claramente que no pedía nada a nadie, que trabajaba cuando le convenía, y que, dada la calma con que se tomaba las cosas, era fácil que nada le causase sorpresa ni sobresalto."
"I see you do not realize all the difficulty of my position... there in Petersburg,' she added.","Aquí estoy tranquila, soy completamente feliz. De esto hablaremos también luego."
'Then you will come?' cried Dolly.,–¿Vendrá usted? –le gritó Dolly.
"""I cannot admire his taste,"" I remarked, ""if it is indeed a fact that he was averse to a marriage with so charming a young lady as this Miss Turner.""","––No puedo admirar sus gustos ––comenté––, si es verdad eso de que se negaba a casarse con una joven tan encantadora como esta señorita Turner."
"""’Do not seek your wife,’"" read d’Artagnan; ""’she will be restored to you when there is no longer occasion for her.",«No busquéis a vuestra mujer leyó D'Artagnan ; os será devuelta cuando ya no haya necesidad de ella.
"""She is dead,"" replied the other.","Es muerta, respondió el otro."
"Mousqueton’s horse which had traveled for five or six hours without a rider the day before, might have been able to pursue the journey; but by an inconceivable error the veterinary surgeon, who had been sent for, as it appeared, to bleed one of the host’s horses, had bled Mousqueton’s.","Sólo el de Mosquetón, que había viajado sin amo durante cinco o seis horas la víspera, habría podido continuar la ruta; pero por un error inconcebible, el veterinario al que se había mandado a buscar, según parecía, para sangrar al caballo del hostelero, había sangrado al de Mosquetón."
My last hope was shattered against this granite wall.,"Mi postrer esperanza acababa de estrellarse contra aquella muralla de granito, dejándome anonadado."
"Accordingly, not wanting to entangle his propeller in this weed-choked mass, Captain Nemo stayed at a depth some meters below the surface of the waves.",El capitán Nemo no quiso arriesgar su hélice en esa masa herbácea y se mantuvo a algunos metros de profundidad.
"It was a delicate part which I had to play then, for I saw that a prosecution must be avoided to avert scandal, and I knew that so astute a villain would see that our hands were tied in the matter.","Tenía que actuar con mucha delicadeza, porque estaba claro que había que prescindir de denuncias para evitar el escándalo, y sabía que un canalla tan astuto como él se daría cuenta de que teníamos las manos atadas por ese lado."
"“Well,” said I to him, “Friday, what will you do now?",Yo voy cerca.
It was the band!,¡La banda de lunares!»
"He will grow up despising me, in the house of his father whom I have left. Understand that I love equally, I think, and both more than myself – two beings: Serezha and Alexis.'",Ana estaba en este momento en el rincón más lejano de la habitación y se había detenido allí jugando distraídamente con la cortina.
PART IV,CUARTA PARTE
"""That’s the man!"" cried d’Artagnan, ""again he, forever he!",¡El es! exclamó D'Artagnan . ¡Otra vez él!
My eyes soon grew accustomed to this comparative gloom.,Mis ojos se acostumbraron pronto a esas tinieblas relativas.
"The goat seemed to understand him, for as her master seated himself, she stretched herself quietly beside him and looked up in his face to show him she was all attention to what he was going to say, and then in these words he began his story.","Parece que lo entendió la cabra, porque, en sentándose su dueño, se tendió ella junto a él con mucho sosiego, y, mirándole al rostro, daba a entender que estaba atenta a lo que el cabrero iba diciendo, el cual comenzó su historia desta manera:"
"One day, in order to spare her even this sight, he spent four hours carrying the bedsheet over to the couch on his back and arranged it so that he was completely covered and his sister would not be able to see him even if she bent down.","Para ahorrarle también ese espectáculo, transportó un día sobre la espalda – para ello necesitó cuatro horas – la sábana encima del canapé, y la colocó de tal forma que él quedaba tapado del todo, y la hermana, incluso si se agachaba, no podía verlo."
"He was searching his pockets for the key when someone passing said: ""Good-night, Mister Sherlock Holmes.""","Holmes estaba buscando la llave en sus bolsillos cuando alguien que pasaba dijo: ––Buenas noches, señor Holmes."
"I opened the chest, and found what I looked for, the tobacco; and as the few books I had saved lay there too, I took out one of the Bibles which I mentioned before, and which to this time I had not found leisure or inclination to look into. I say, I took it out, and brought both that and the tobacco with me to the table.","Abrí el arcón y encontré lo que estaba buscando, es decir, el tabaco y, como los libros que había rescatado estaban también allí, saqué una de las Biblias, que mencioné anteriormente y que, hasta entonces, no había tenido ni el tiempo ni la inclinación de mirar y la llevé a la mesa junto con el tabaco."
"""Never?"" cried the reporter.",–¡Nunca! –exclamó el corresponsal–.
I have grown very fond of your daughter.',Quiero mucho a su hija.
"In fact, it takes no less than sixteen dozen of these headless mollusks to supply the 315 grams that satisfy one man's minimum daily requirement for nitrogen.",No se requieren menos de seis docenas de estos moluscos acéfalos para suministrar los trescientos quince gramos de sustancia azoada necesarios a la alimentación cotidiana del hombre.
"However this morning he came just as we came home from church; and then it all came out, how he had been sent for Wednesday to Harley Street, and been talked to by his mother and all of them, and how he had declared before them all that he loved nobody but Lucy, and nobody but Lucy would he have.","No obstante, él apareció hoy en la mañana, justo cuando volvíamos de la iglesia; y allí supimos todo: cómo el miércoles le habían pedido ir a Harley Street y su madre y todos los demás le habían hablado, y cómo él había declarado ante todos que sólo amaba a Lucy y que no, se casaría con nadie sino con Lucy."
"And that lying dead I be,","y mi ánima arrancada,"
'Who is that? Your son?' asked Levin.,–¿Es hijo tuyo? –preguntó Levin.
"Turovtsin, with a tankard of something to drink, was sitting on the high sofa in the billiard-room, and Oblonsky was talking to Vronsky by the door in the far corner.","Turovzin estaba sentado en un diván en la sala de los billares, teniendo cerca de él, en una mesita, un cubilete con un brebaje. Esteban Arkadievich y Vronsky hablaban de algo cerca de la puerta, en un rincón de la sala."
"Over the edge there peeped a clean-cut, boyish face, which looked keenly about it, and then, with a hand on either side of the aperture, drew itself shoulder-high and waist-high, until one knee rested upon the edge.","Por la abertura asomó un rostro juvenil y atractivo, que miró atentamente a su alrededor y luego, con una mano a cada lado del hueco, se fue izando, primero hasta los hombros y luego hasta la cintura, hasta apoyar una rodilla en el borde."
"The brilliant focus of light, pointed out by the engineer, touched every point of rocks, and flooded the walls with light.","El resplandor del foco de luz visto por el ingeniero, apoderándose de cada arista prismática y sembrándolas de puntos luminosos, penetraba, por decirlo así, en las paredes como si hubieran sido diáfanas y transformaba en otros tantos carbunclos resplandecientes las menores puntas del subterráneo."
"One night, as I was in my chamber with no other companion than a damsel who waited on me, with the doors carefully locked lest my honour should be imperilled through any carelessness, I know not nor can conceive how it happened, but, with all this seclusion and these precautions, and in the solitude and silence of my retirement, I found him standing before me, a vision that so astounded me that it deprived my eyes of sight, and my tongue of speech. I had no power to utter a cry, nor, I think, did he give me time to utter one, as he immediately approached me, and taking me in his arms (for, overwhelmed as I was, I was powerless, I say, to help myself), he began to make such professions to me that I know not how falsehood could have had the power of dressing them up to seem so like truth; and the traitor contrived that his tears should vouch for his words, and his sighs for his sincerity.","Y fue que una noche, estando yo en mi aposento con sola la compañía de una doncella que me servía, teniendo bien cerradas las puertas, por temor que, por descuido, mi honestidad no se viese en peligro, sin saber ni imaginar cómo, en medio destos recatos y prevenciones, y en la soledad deste silencio y encierro, me le hallé delante, cuya vista me turbó de manera que me quitó la de mis ojos y me enmudeció la lengua; y así, no fui poderosa de dar voces, ni aun él creo que me las dejara dar, porque luego se llegó a mí, y, tomándome entre sus brazos (porque yo, como digo, no tuve fuerzas para defenderme, según estaba turbada), comenzó a decirme tales razones, que no sé cómo es posible que tenga tanta habilidad la mentira que las sepa componer de modo que parezcan tan verdaderas. Hacía el traidor que sus lágrimas acreditasen sus palabras y los suspiros su intención."
"""Which route must I take?"" demanded d’Artagnan, in his turn.",¿Qué ruta hay que tomar? preguntó a su vez D'Artagnan.
'But you yourself say you cannot endure him?',–Me has dicho que no puedes soportarle.
"""He does not fly who retires,"" returned Don Quixote; ""for I would have thee know, Sancho, that the valour which is not based upon a foundation of prudence is called rashness, and the exploits of the rash man are to be attributed rather to good fortune than to courage; and so I own that I retired, but not that I fled; and therein I have followed the example of many valiant men who have reserved themselves for better times; the histories are full of instances of this, but as it would not be any good to thee or pleasure to me, I will not recount them to thee now.""","-No huye el que se retira -respondió don Quijote-, porque has de saber, Sancho, que la valentía que no se funda sobre la basa de la prudencia se llama temeridad, y las hazañas del temerario más se atribuyen a la buena fortuna que a su ánimo. Y así, yo confieso que me he retirado, pero no huido; y en esto he imitado a muchos valientes, que se han guardado para tiempos mejores, y desto están las historias llenas, las cuales, por no serte a ti de provecho ni a mí de gusto, no te las refiero ahora."
Nothing but the immenseness of the sea.,Nada más que el mar inmenso.
"So far as the case of the Hound goes, however, I will give you the course of events as nearly as I can, and you will suggest anything which I may have forgotten.","Por lo que se refiere al caso del sabueso, le expondré lo más exactamente que pueda los acontecimientos y siempre podrá usted interrogarme sobre cualquier punto que haya olvidado."
"Now then, this liquid mass nearly equals the total amount of water that has poured through all the earth's rivers for the past 40,000 years!",Y toda esta masa líquida es casi equivalente a la que verterían todos los ríos de la Tierra durante cuarenta mil años.
"""I was reading.""",-Leer.
"There were deodars, Douglas firs, casuarinas, gum trees, eucalypti, hibiscus, cedars, and other trees, generally of a moderate size, for their number prevented their growth.","Eran deodaras, duglasias, casuarinas, gomeros, eucaliptos, dragos, hibiscos, cedros y otras especies, por lo común de mediana altura, porque su abundancia había perjudicado a su desarrollo."
"'Well, of course,' said Oblonsky.",–Naturalmente –repuso su amigo–.
"""And your father?",––¿Y su padre?
But you had better tell us how the theory of rent can be...',Dígame: ¿cómo el estudio de la renta puede ...?
"""Both died before I can remember.""",-No tengo padre ni madre. Los dos murieron antes de que yo pudiera conocerles.
"""You hear him!"" cried Milady, with vehemence, so that the baron might believe she was addressing heaven, and that Felton might understand she was addressing him.",¡Ya lo oís! exclamó Milady con escándalo de tal forma que el barón creyó que ella se dirigía al cielo y que Felton comprendió que era para él.
"""You have saved my life: I have a pleasure in owing you so immense a debt.",-Me ha salvado usted la vida y me satisface tener con usted una deuda tan grande.
"""If this scrupulous exactness were not observed with these fellows there would be no living with them.","-Si no se guardase esta puntualidad con éstos, no se podría vivir con ellos."
"Mme. Coquenard smiled, and upon a sign from her everyone eagerly took his seat.",La señora Coquenard sonrió y a una indicación suya todo el mundo se sentó con diligencia.
— Qu’est devenue Lucy Ferrier ?,––¿Qué ha sido de Lucy Ferrier?
"""Gentlemen, I will see the king this evening; but as to you, I do not advise you to risk doing so.""","Señores, veré al rey esta noche; en cuanto a vos, os aconsejo no arriesgaros."
"I had no sympathy in their appearance, their expression: yet I could imagine that most observers would call them attractive, handsome, imposing; while they would pronounce Mr. Rochester at once harsh-featured and melancholy-looking.","En el aspecto de aquellos no veía nada sugestivo para mí, aun reconociendo que la mayoría de las gentes les hubieran considerado atractivos, elegantes y distinguidos, mientras que de Mr. Rochester hubiesen dicho que estaba mal formado y que tenía un aire sombrío."
We were overloaded when we arrived at the skiff.,"Así, llegamos muy sobrecargados a la canoa."
"What is the good of my taking pains, of working so hard?","¿Para qué esforzarme, para qué trabajar?"
"""He's a spy sent to keep us in view!",¡Es un espía que esos caballeros han enviado tras de nosotros! ¡Eso no es digno!
"At Pontoise he changed his horse for the last time, and at nine o’clock galloped into the yard of Treville’s hotel.","En Pontoise, cambió por última vez de montura y a las nueve entraba a todo galope en el patio del palacio del señor de Tréville."
Possibly they might even not admit her. It was painful to her even to think of writing to and coming into contact with her husband: she could be calm only when she did not think of him.,"Sólo el pensar en escribir a su marido y cruzar cartas con él, le suponía ya un tormento. únicamente cuando no se acordaba de su marido podía estar tranquila."
"It was her husband, who had discovered the disappearance of the moneybag, and was crying ""Thieves!""","Era su marido, que se había percatado de la desaparición de su bolsa y que maldecía al ladrón."
"Without speaking to us, without even seeing us perhaps, he went to the panel, stared at the devilfish, and said a few words to his chief officer.","Sin hablarnos, sin vernos tal vez, se dirigió al cristal, miró a los pulpos y dijo unas palabras a su segundo."
"OF THE STRANGE ADVENTURE WHICH THE VALIANT DON QUIXOTE HAD WITH THE CAR OR CART OF ""THE CORTES OF DEATH""","De la estraña aventura que le sucedió al valeroso don Quijote con el carro, o carreta, de Las Cortes de la Muerte"
"""This will do,"" said he.",-Ya es suficiente -dijo-.
"Elinor, affected by his relation, and still more by his distress, could not speak.","Elinor, afectada por su relato, y aún más por su congoja, tampoco pudo decir palabra."
'Oh yes!,–¡Ah!
"All falsehood is a mask; and however well made the mask may be, with a little attention we may always succeed in distinguishing it from the true face.","Toda falsedad es una máscara, y por bien hecha que esté la máscara, siempre se llega, con un poco de atención, a distinguirla del rostro."
"I will never come to see you when I am grown up; and if any one asks me how I liked you, and how you treated me, I will say the very thought of you makes me sick, and that you treated me with miserable cruelty.""","Nunca vendré a verla cuando sea mayor, y si alguien me pregunta si la quiero, contestaré contándole lo mal que se ha portado conmigo y la crueldad con que me ha tratado."
"""Hush, senor,"" said Sancho, ""don't talk that way, but open your eyes, and come and pay your respects to the lady of your thoughts, who is close upon us now;"" and with these words he advanced to receive the three village lasses, and dismounting from Dapple, caught hold of one of the asses of the three country girls by the halter, and dropping on both knees on the ground, he said, ""Queen and princess and duchess of beauty, may it please your haughtiness and greatness to receive into your favour and good-will your captive knight who stands there turned into marble stone, and quite stupefied and benumbed at finding himself in your magnificent presence.","-Calle, señor -dijo Sancho-, no diga la tal palabra, sino despabile esos ojos, y venga a hacer reverencia a la señora de sus pensamientos, que ya llega cerca. Y, diciendo esto, se adelantó a recebir a las tres aldeanas; y, apeándose del rucio, tuvo del cabestro al jumento de una de las tres labradoras, y, hincando ambas rodillas en el suelo, dijo: -Reina y princesa y duquesa de la hermosura, vuestra altivez y grandeza sea servida de recebir en su gracia y buen talente al cautivo caballero vuestro, que allí está hecho piedra mármol, todo turbado y sin pulsos de verse ante vuestra magnífica presencia."
"The pumps began to expel water from the ballast tanks; on the pressure gauge, a needle marked the decreasing pressures that indicated the Nautilus's upward progress; then the needle stopped.","Las bombas comenzaron a expulsar el agua de los depósitos. La aguja del manómetro iba marcando las diferentes presiones con que se acusaba el movimiento ascensional del Nautilus, hasta que se detuvo."
"The vessel was quite ready to sail, and the captain was waiting on the wharf.","El navío continuaba dispuesto para partir, el patrón esperaba en el puerto."
"""But I think I have it,"" said Athos. ""Don’t you say, dear d’Artagnan, that it is the queen who has made choice of the convent for her?""","Pero, pensando en ello dijo Athos , ¿no pretendéis querido D'Artagnan que ha sido la reina quien le ha escogido el convento?"
_June_ 24.—Much better.,24 de junio. Mucho mejor.
"Towards twelve o'clock, Pencroft having asked the engineer if they could now remove him, Harding, instead of replying, and by an effort which exhibited the most energetic will, got up.","Hacia mediodía, Pencroff preguntó a Ciro Smith si se hallaba en estado de que le transportaran, y el ingeniero, por toda respuesta, haciendo un esfuerzo que demostraba más voluntad que energía, se levantó."
"""We will live there!"" replied Harding.",–¡Se vivirá! –contestó Ciro Smith.
"Therefore there is not an hour to lose!""",No hay un momento que perder.
"In the antechamber, upon long circular benches, reposed the elect; that is to say, those who were called.","En la antecámara, sobre altas banquetas circulares, descansaban los elegidos, es decir, aquellos que estaban convocados."
"The business of self-command she settled very easily;--with strong affections it was impossible, with calm ones it could have no merit.","Del asunto del dominio sobre sí misma, dio cuenta con toda facilidad: si era imposible cuando los sentimientos eran fuertes, con los apacibles no tenía ningún mérito."
Entrebâillez la porte….,Deje la puerta entreabierta.
He smiled.,Sonrió.
"I am not jealous, but dissatisfied.",No es verdad: no estoy celosa: estoy descontenta.
"""We promise,"" said Cyrus Harding.","–Bien –repuso el capitán Nemo–, bien..."
But don't forget that you see us in summer when you have come and we are not alone...,Pero no olvides que nos ves viviendo durante el verano y no estamos solos.
"Her heart was not so much at ease, nor her satisfaction in their amusements so pure.","Su corazón estaba consagrado a Willoughby, y los encantos que su compañía le conferían a su hogar actual parecían debilitar más de lo que antes había creído posible el sentimental apego a Norland que había traído consigo desde Sussex."
